
										
DATA SENSUS,
,Facebook,,Instagram
,Twitter,,Youtube

                        Provinsi/Kabupaten/Kota                    ,
                        [Metode Baru] Harapan Lama Sekolah                        (Tahun)                    
2018,2019
ACEH,14.27,14.30
Simeulue,13.25,13.51
Aceh Singkil,14.29,14.30
Aceh Selatan,14.15,14.41
Aceh Tenggara,13.98,13.99
Aceh Timur,13.01,13.02
Aceh Tengah,14.25,14.26
Aceh Barat,14.58,14.59
Aceh Besar,14.70,14.71
Pidie,14.44,14.45
Bireuen,14.81,14.82
Aceh Utara,14.68,14.69
Aceh Barat Daya,13.56,13.57
Gayo Lues,13.49,13.73
Aceh Tamiang,13.57,13.58
Nagan Raya,14.11,14.12
Aceh Jaya,13.96,13.97
Bener Meriah,13.44,13.45
Pidie Jaya,14.53,14.54
Kota Banda Aceh,17.26,17.39
Kota Sabang,13.66,13.81
Kota Langsa,15.19,15.34
Kota Lhokseumawe,15.18,15.19
Kota Subulussalam,14.20,14.21
SUMATERA UTARA,13.14,13.15
Nias,12.13,12.39
Mandailing Natal,13.15,13.17
Tapanuli Selatan,13.10,13.12
Tapanuli Tengah,12.66,12.79
Tapanuli Utara,13.66,13.68
Toba Samosir,13.26,13.28
Labuhan Batu,12.60,12.67
Asahan,12.56,12.59
Simalungun,12.75,12.77
Dairi,13.07,13.09
Karo,12.73,12.75
Deli Serdang,13.32,13.34
Langkat,12.75,12.81
Nias Selatan,12.20,12.22
Humbang Hasundutan,13.25,13.27
Pakpak Bharat,13.83,13.85
Samosir,13.44,13.46
Serdang Bedagai,12.57,12.59
Batu Bara,12.52,12.62
Padang Lawas Utara,12.42,12.47
Padang Lawas,13.00,13.02
Labuhan Batu Selatan,12.97,12.99
Labuhan Batu Utara,12.80,12.82
Nias Utara,12.58,12.78
Nias Barat,12.66,12.71
Kota Sibolga,13.13,13.15
Kota Tanjung Balai,12.47,12.49
Kota Pematang Siantar,14.02,14.21
Kota Tebing Tinggi,12.68,12.71
Kota Medan,14.72,14.73
Kota Binjai,13.59,13.61
Kota Padangsidimpuan,14.51,14.53
Kota Gunungsitoli,13.71,13.73
SUMATERA BARAT,13.95,14.01
Kepulauan Mentawai,12.39,12.76
Pesisir Selatan,13.30,13.31
Solok,13.02,13.03
Sijunjung,12.35,12.36
Tanah Datar,13.88,14.32
Padang Pariaman,13.57,13.62
Agam,13.85,13.86
Lima Puluh Kota,13.27,13.28
Pasaman,12.78,12.79
Solok Selatan,12.69,12.70
Dharmasraya,12.41,12.42
Pasaman Barat,13.22,13.40
Kota Padang,16.50,16.51
Kota Solok,14.30,14.31
Kota Sawah Lunto,13.15,13.16
Kota Padang Panjang,15.04,15.05
