Id,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Umur Harapan Hidup Saat Lahir (UHH) (2021),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021)
1,2.5416019934645457,2.5649493574615367,2.574137783515943,8.890685920281129,8.884748726451182,8.887928819003305,1.986503546020567,1.9878743481543455,1.9892432737616872,67.5,67.66,67.69,4.159820144181012,4.164647686064525,4.167440117292651,0.34,0.38,0.38,0.494696241836107,0.6471032420585384,0.7608058290337602
2,2.589266665112243,2.5900171341906173,2.590767040487478,9.289151552400472,9.234349824436535,9.240772579096385,2.149433913499871,2.150598735996164,2.169053700369523,68.44,68.55,68.6,4.259576474917317,4.25291403621107,4.257030144499196,0.32,0.32,0.23,0.2468600779315258,0.36464311358790924,0.131028262406404
3,2.542389085201363,2.543175557911976,2.546315277916644,9.13550906135318,9.105646300861517,9.111293218374948,1.7647307968401356,1.776645831418007,1.7984040119467235,66.92,67.17,67.36,4.166510173022286,4.165424143903053,4.170842533194826,2.42,2.58,1.66,2.0001277349601105,1.958685340544036,1.7387102481382397
5,2.5710843460290524,2.5718485799218085,2.5726122302071057,9.005895898094458,8.979920411691197,8.983941527941301,2.169053700369523,2.1815467646169897,2.206074192613202,68.17,68.76,69.05,4.214938458520516,4.2168571366974925,4.223177434065069,0.78,0.47,0.51,1.0612565021243408,0.6780335427498971,0.6981347220709843
8,2.542389085201363,2.543175557911976,2.543961412569315,9.464594918315445,9.463120392418698,9.468001285315953,2.330200260027019,2.333114298028869,2.3456445824544927,70.76,70.87,70.95,4.3185542117183084,4.319752215189378,4.323072491830211,0.31,0.56,0.28,0.3852624007906449,0.5538851132264376,0.3148107398400336
9,2.482403519569882,2.4832385926873033,2.4932054526026954,9.113609183016411,9.117566971823829,9.128587870103924,1.8687205103641833,1.8855533485144158,1.8870696490323797,66.24,66.39,66.49,4.1588830833596715,4.162937353687712,4.1675950239616935,0.41,0.68,0.29,0.7030975114131134,0.9555114450274363,0.494696241836107
10,2.5877640352277083,2.58851563240702,2.589266665112243,8.776321456449958,8.758412389457677,8.752107198329362,2.0162354657760435,2.0554049638515948,2.0744289998562917,66.86,66.96,67.09,4.148517041110494,4.1515122352784415,4.1540275643832745,1.09,0.9,0.93,1.3987168811184478,1.3217558399823195,1.3270750014599193
11,2.5289235352047745,2.551786178627545,2.5710843460290524,9.128587870103924,9.123147160273806,9.1248914101437,2.1938856760707046,2.2202898502672155,2.2300144001592104,69.23,69.51,69.53,4.237289838207198,4.246493239378686,4.251775570170929,0.74,0.86,0.63,0.9783261227936078,1.0715836162801904,0.8754687373538999
12,2.653241964607215,2.6609585935683597,2.6616571615324998,9.060447282401565,9.01042494678118,9.025936648977904,2.265921108622454,2.2752138961979136,2.2975725511705014,69.22,69.34,69.43,4.260282639765531,4.256038151220088,4.262539022051294,0.06,0.11,0.17,-0.916290731874155,-0.5108256237659907,-0.19845093872383832
13,2.4849066497880004,2.485739636091892,2.495681722955959,9.166701914946353,9.151757414543885,9.161570207606754,1.891604804197771,1.927164106234258,1.9286186519452522,74.59,74.69,74.74,4.225665179549459,4.229021132213981,4.232946411659729,0.08,0.32,0.48,-0.37106368139083207,0.3576744442718159,0.5653138090500605
15,2.50715725872282,2.5265283244788197,2.532902848056256,9.063926353520646,9.048409504829962,9.054621796976763,2.224623551524334,2.252343876557299,2.2741856184723477,70.04,70.16,70.24,4.2336716274432,4.239886867512759,4.246063716857944,0.17,0.24,0.28,0.0,0.23111172096338664,0.29266961396282004
16,2.6093342281630525,2.6100697927420065,2.6108048166633746,8.950662495933999,8.911125383710678,8.925188429378027,2.125847914493992,2.1412419425852827,2.1540850846756014,69.47,69.56,69.61,4.21582445975981,4.212127597878484,4.2168571366974925,0.07,0.09,0.07,-0.9675840262617056,-0.9675840262617056,-0.7339691750802004
