Id,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021)
0,2.512035317176253,2.516889695641051,2.5376572151735295,8.976262255609193,8.962007209588313,8.956479847999912,1.9198594718553708,1.9501867058225735,1.951608170169951,70.9,71.04,4.182050142641207,4.185707568236073,4.19010918420648,0.17,0.05,0.11,-0.2231435513142097,-0.8915981192837836,-0.6539264674066639
4,2.4915511925066687,2.5152741864043966,2.5160822672564502,9.077951183930438,9.075551045627543,9.081369990679223,1.5151272329628591,1.5789787049493917,1.5810384379124025,67.96,68.03,4.126166174545057,4.138361447638875,4.139955073474153,0.7,0.53,0.8,1.1631508098056809,1.075002423028976,1.297463147413275
6,2.7350166493320245,2.7414849771884473,2.7568403652716422,9.721125994942152,9.716736198662788,9.720945971538624,2.3194422100604686,2.3204250111223765,2.3427668826268775,73.15,73.27,4.398391988760146,4.399989335048054,4.40720693320418,0.13,0.15,0.22,-0.5978370007556204,-0.4155154439616658,-0.13926206733350766
7,2.70805020110221,2.7087166456453704,2.7093826463359885,9.62747051161485,9.599879329534089,9.611596635310292,2.446685436967803,2.4475508632442313,2.448415541205585,70.38,70.45,4.384024637336554,4.3812763532831775,4.383400690227026,0.76,0.55,0.79,0.8197798314933114,0.6830968447064438,0.9282193027394288
14,2.464703942470481,2.468946630209271,2.4932054526026954,9.478074806618269,9.46568002150671,9.468464892185638,1.9643112344262046,1.9726911717329554,1.9740810260220096,71.16,71.36,4.2531984503199265,4.254903238344689,4.261129379866926,0.1,0.14,0.11,-0.6539264674066639,-0.3285040669720361,-0.4620354595965587
20,2.428336298299606,2.4406063908914204,2.453587966530573,9.011645501064283,9.0142038261485,8.991437814919227,1.927164106234258,1.9430489167742813,1.9572739077056285,59.93,60.1,4.091340053201802,4.097838451476356,4.09982949245267,3.36,4.19,1.79,2.1701959049483,2.306577114263583,1.8687205103641833
21,2.548663615590751,2.5494451709255714,2.550226115908643,9.946307549719057,9.926617969924983,9.942756341456828,2.341805806147327,2.363680192353857,2.377692565480851,73.54,73.62,4.397038392294319,4.399129542573544,4.403788126455394,0.09,0.14,0.11,-0.7765287894989963,-0.4942963218147801,-0.579818495252942
33,2.6195832197798796,2.620311286794203,2.6210388241125804,8.994420665751292,8.984693690443855,9.00380808646717,2.149433913499871,2.152924318439639,2.1540850846756014,71.02,71.19,4.238444906195857,4.238589195929893,4.242908235180575,0.54,0.3,0.68,0.9516578757114463,0.5538851132264376,0.9783261227936078
38,2.533696813957432,2.534490149976828,2.5352828571130672,9.424079843215099,9.408617295560266,9.414994033976548,2.28949985344539,2.2905125117597764,2.2915241456346207,71.0,71.07,4.3067641501733345,4.3054155323020415,4.3067641501733345,0.21,0.2,0.25,-0.11653381625595151,-0.15082288973458366,-0.05129329438755058
53,2.601207105484161,2.6181254935742233,2.6354795082673745,9.362803915102651,9.332911924364364,9.335562336729565,1.851599469584072,1.8578592709325787,1.8594181177018698,66.64,66.94,4.219948784356969,4.222444564849416,4.2284382967028,0.98,0.82,0.31,1.2296405510745139,1.0681530811834012,0.5306282510621704
70,2.510411940196362,2.511223958105374,2.523325759691945,9.36417671669105,9.343734255146714,9.35218709620442,2.0844290831908747,2.1150499691472033,2.1210632163706555,69.96,70.1,4.256038151220088,4.258869811047899,4.263665306838804,0.29,0.25,0.38,0.41871033485818504,0.25464221837358075,0.5538851132264376
78,2.5710843460290524,2.5718485799218085,2.5726122302071057,9.359622074691938,9.327323087461798,9.33617975681533,2.179286876649552,2.21046980408624,2.2300144001592104,73.56,73.68,4.303929948937459,4.305010592025198,4.310127759130018,0.15,0.18,0.26,-0.5108256237659907,-0.3285040669720361,-0.09431067947124129
